Photon in MeV,Mass attenuation coefficient
0.001,2628
0.00103542,2392
0.0010721,2176
0.0010721,2182
0.0015,862.2
0.002,380
0.002472,205.3
0.002472,207.2
0.0026414,170.7
0.0028224,140.5
0.0028224,142
0.003,118.8
0.004,50.54
0.005,25.87
0.006,14.94
0.008,6.3
0.01,3.268
0.015,1.083
0.02,0.5677
0.03,0.3063
0.04,0.2396
0.05,0.2123
0.06,0.1974
0.08,0.18
0.1,0.1688
0.15,0.15
0.2,0.1368
0.3,0.1187
0.4,0.1062
0.5,0.09696
0.6,0.08965
0.8,0.07873
1,0.07078
1.25,0.0633
1.5,0.0576
2,0.0494
3,0.03955
4,0.03377
5,0.02995
6,0.02725
8,0.02368
10,0.02145
15,0.01843
20,0.01698
